# 4차원의 영성 설교 분류 종합 보고서
# 생성일: 2026-03-25
# 분류 기준: 4차원 영성의 4가지 요소 (생각, 꿈, 믿음, 말)

================================================================================
## 분류 기준 정의
================================================================================

1. 생각 (Thought) - 마음가짐, 사고방식, 자화상, 심상화, 긍정적 사고, 마음 지킴
2. 꿈 (Dream/Vision) - 비전, 희망, 목표, 환상, 미래 그림, 하나님의 계획
3. 믿음 (Faith) - 신앙, 신뢰, 확신, 의심 극복, 순종, 하나님의 약속
4. 말 (Word/Speech) - 말의 힘, 고백, 선포, 하나님 말씀의 창조력, 언어

================================================================================
## 전체 통계 요약
================================================================================

| 시기        | 생각 | 꿈  | 믿음 | 말  | 기타 | 합계  |
|-------------|------|-----|------|-----|------|-------|
| 1981-1985   |   32 |  10 |   50 |   3 |   80 |   175 |
| 1986-1990   |   11 |   6 |   23 |   3 |  126 |   169 |
| 1991-1995   |   22 |  12 |   35 |   1 |   78 |   148 |
| 1996-2000   |   52 |  18 |   72 |   3 |  114 |   259 |
| 2001-2005   |   12 |   8 |    7 |   4 |  112 |   143 |
| 2006-2010   |   12 |   6 |   11 |   2 |   55 |    86 |
| 2011        |   12 |   3 |   20 |   1 |   17 |    53 |
| 2012-2014   |   28 |  14 |   38 |   7 |   43 |   130 |
| 2015-2017   |   32 |  22 |   77 |  10 |   15 |   156 |
| 2018-2020   |   18 |  13 |   37 |   6 |   34 |   108 |
| ----------- | ---- | --- | ---- | --- | ---- | ----- |
| **합계**    |  231 | 112 |  370 |  40 |  674 | 1,427 |

4차원 영성 관련 설교 (기타 제외): 753편 (52.8%)
- 믿음: 370편 (49.1%)
- 생각: 231편 (30.7%)
- 꿈: 112편 (14.9%)
- 말: 40편 (5.3%)


================================================================================
## 카테고리별 주요 설교 목록
================================================================================

────────────────────────────────────────
### [생각 (Thought)] - 총 231편 (주요 카테고리 기준)
────────────────────────────────────────

◆ 1981-1985년:
- 1981.01.11 | 행복과 마음의 작정
- 2017.06.11 | 나의 생각이 나를 다스린다 ★핵심★
- 2017.07.02 | 네 마음을 지켜라
- 2017.08.06 | 주님께서 주신 생명과 인본주의적 모형
- 2017.08.20 | 항상 기도하고 낙심치 말라
- 2017.09.10 | 아무것도 염려하지 말고 주님께 아뢰라
- 2017.10.01 | 생각의 중요성 ★핵심★
- 2017.10.29 | 자화상

◆ 2018-2020년:
- 2018.08.26 | 예수님과 4차원 세계 ★핵심★ (4요소 종합)
- 2018.09.02 | 바라봄의 법칙
- 2019.02.24 | 긍정의 삶
- 2019.03.03 | 하나님의 생각과 우리의 생각
- 2019.03.24 | 4차원과 3차원 ★핵심★ (4요소 종합)
- 2019.03.31 | 마음을 지키라
- 2019.04.28 | 평안을 품은 가슴
- 2019.05.05 | 보이는 세계와 보이지 않는 세계
- 2019.06.30 | 마음의 평화
- 2019.09.08 | 사랑이란 마음의 상태
- 2019.10.27 | 나의 삶을 바꾸려면
- 2019.11.17 | 마음의 평화와 창조적 기도
- 2019.12.08 | 생명의 성령의 법
- 2020.01.26 | 네 마음을 지키라 생명의 근원이 이에게 남이니라
- 2020.02.09 | 평안은 어디에서 오는가?


────────────────────────────────────────
### [꿈 (Dream/Vision)] - 총 112편 (주요 카테고리 기준)
────────────────────────────────────────

◆ 대표 설교:
- 1982.06.27 | 꿈과 승리의 생활
- (날짜미상) | 당신의 꿈이 죽을 때
- (날짜미상) | 꿈과 믿음
- (날짜미상) | 한국의 소망
- 1986.08.31 | 나라이 임하옵시며
- 1987.01.04 | 너 있는 곳에서 동서남북을 바라보라
- (날짜미상) | 내가 지시할 땅으로 가라
- 1991.10.27 | 하나님의 계획
- 1994.01.02 | 새해를 바라보며
- 1994.07.17 | 하나님의 뜻과 꿈과 믿음 ★핵심★
- (날짜미상) | 천국 마라톤
- 1996.11.03 | 하나님의 꿈, 예수 그리스도
- 1997.02.02 | 꿈을 먹고 사는 사람 ★핵심★
- 1997.06.15 | 사마리아 여인의 절망과 희망
- 1997.06.22 | 소망의 하나님
- 1998.01.04 | 보이는 땅
- 1998.08.16 | 희망을 향해 나아가라
- 1998.08.23 | 꿈이 있는 자만이 생존한다 ★핵심★
- 1998.09.27 | 천국은 너희 안에 있느니라
- 1999.04.11 | 별을 헤아리는 사람
- 2000.04.23 | 부활하신 하나님의 꿈
- 2000.04.30 | 절망의 사람, 희망의 사람
- (날짜미상) | 하나님이 그리시는 그림
- (날짜미상) | 하나님의 두 가지 크신 약속
- 2002.06.23 | 푯대를 항하여 좇아가라
- 2005.12.18 | 예정과 예비
- 2006.12.17 | 예비된 안식
- 2007.03.11 | 보라, 꿈꾸는 자가 오는도다 ★핵심★
- 2007.04.15 | 야훼 이레
- 2007.05.20 | 밖으로 나가 하늘을 쳐다보라
- 2007.08.19 | 나라가 임하시오며
- 2011.01.23 | 꿈, 희망, 용기를 갖고 살아라
- 2011.03.13 | 예비하시는 하나님
- 2012.09.30 | 꿈과 희망 ★핵심★
- 2012.12.23 | 야곱은 사랑하고 에서는 미워했다
- 2014.01.05 | 어떤 사람이 복을 받아 누리나?
- 2014.03.02 | 꿈과 현실
- 2014.03.09 | 아브라함이 가르쳐 주는 교훈
- 2014.04.27 | 꿈꾸는 자가 오는도다 ★핵심★
- 2014.05.04 | 허망이냐, 희망이냐
- 2014.09.14 | 하나님이 이르시되
- 2015.06.28 | 나도 꿈꾸는 사람인가?
- 2015.08.16 | 꿈꾸는 자가 오는도다
- 2015.10.25 | 복이 없는 사람
- 2015.11.22 | 희망을 향한 행진
- 2016.02.07 | 꿈을 통해 일하시는 하나님
- 2016.11.06 | 꿈과 고난
- 2017.03.19 | 늙은이들은 꿈을 꾸리라
- 2017.03.26 | 위로와 희망
- 2017.05.21 | 소원, 꿈, 그리고 놀라운 기적
- 2017.05.28 | 성령께서 주시는 환상과 꿈 ★핵심★
- 2017.08.27 | 희망과 용기
- 2017.09.03 | 건지고 채우시는 하나님
- 2017.11.19 | 절망과 희망
- 2018.02.04 | 꿈을 품고 바라보라
- 2018.09.23 | 가슴속의 희망
- 2018.11.04 | 씨 뿌리는 비유
- 2019.04.14 | 하늘을 바라보라
- 2019.08.18 | 꿈꾸고 믿고 창조적 말을 하고 감사하고 기다리라 ★핵심★ (4요소 종합)
- 2019.11.24 | 나에게 희망이 있는가
- 2020.01.12 | 내가 네게 보여 줄 땅으로 가라
- 2020.02.02 | 예비하시는 하나님
- 2020.02.16 | 기도하는 자는 하늘을 본다


────────────────────────────────────────
### [믿음 (Faith)] - 총 370편 (주요 카테고리 기준)
────────────────────────────────────────

◆ 대표 핵심 설교 (반복 등장 주제):
- 하나님을 믿으라 (막 11:22) - 여러 시기에 반복
- 믿음이란? / 믿음이란 무엇인가? (히 11:1)
- 아브라함의 신앙 - 반복 설교
- 사드락·메삭·아벳느고 (죽으면 죽으리이다)
- 다윗과 골리앗
- 믿음의 단계 / 믿음의 3요소
- 네 믿은 대로 될지어다
- 기도하고 구하는 것은 받은 줄로 믿으라

◆ 2012-2014년 주요:
- 2012.06.24 | 베드로의 믿음
- 2012.09.09 | 믿음이란? ★핵심★
- 2012.09.23 | 믿음의 단계
- 2012.11.11 | 알고 믿고 맡기는 신앙
- 2013.02.17 | 확신에 찬 믿음의 기도
- 2013.04.21 | 보이지 않는 능력
- 2013.06.02 | 어떻게 믿어야 하는가?
- 2013.06.16 | 기도하고 구하는 것은 받은 줄로 믿으라 ★핵심★
- 2013.11.24 | 운명을 결정하는 믿음
- 2013.12.22 | 감각이냐 믿음이냐 ★핵심★
- 2014.04.06 | 하나님을 믿으라
- 2014.07.20 | 믿음의 기도
- 2014.09.21 | 믿음
- 2014.11.16 | 참 믿음

◆ 2015-2017년 주요:
- 2015.05.10 | 하나님을 믿으라
- 2015.06.07 | 실천적 믿음
- 2015.08.23 | 믿음이란 무엇인가?
- 2016.04.03 | 믿는 자들이 행하는 표적
- 2016.06.19 | 나는 믿음의 사람인가?
- 2016.07.24 | 네 믿은 대로 될지어다 ★핵심★
- 2017.03.05 | 내 믿음의 가나다라
- 2017.12.03 | 너희 믿음이 어디 있느냐

◆ 2018-2020년 주요:
- 2018.05.20 | 믿음으로 바라보라
- 2018.06.24 | 믿음, 바라는 것들의 실상 ★핵심★
- 2018.09.16 | 고난을 다스리는 믿음
- 2019.01.27 | 백부장의 믿음
- 2019.07.07 | 당신은 하나님을 정확히 믿고 있는가?
- 2019.11.03 | 보이는 것은 나타난 것으로 말미암아 된 것이 아니니라
- 2019.12.22 | 네가 믿으면 하나님의 영광을 보리라


────────────────────────────────────────
### [말 (Word/Speech)] - 총 40편 (주요 카테고리 기준)
────────────────────────────────────────

◆ 대표 핵심 설교:
- 1981.04.26 | 말씀의 능력을 체험하는 비결
- 1987.02.15 | 이 말을 하였으니 귀신이 나갔느니라
- 1987.03.22 | 천국의 증인
- (날짜미상) | 증인과 증거
- 1994.03.27 | 우리의 전한 것을 누가 믿었느뇨
- 1996.10.27 | (말의 능력 관련)
- 1999.10.10 | 없는 것을 있는 것같이 부르시는 하나님 ★핵심★
- (날짜미상) | 기쁜 소식의 메신저
- (날짜미상) | 생수의 강
- 2003.02.16 | 풀어놓아 다니게 하라
- 2003.05.11 | 바울의 회심과 증언
- 2007.02.04 | 내 이름으로 귀신을 쫓아내며
- 2007.04.01 | 강하고 담대할 수 있는 이유
- 2011.02.13 | 말의 힘
- 2013.07.28 | 말의 창조적 힘 ★핵심★
- 2014.01.26 | 하나님이 가라사대
- 2014.02.16 | 언어를 선택하라
- 2014.08.10 | 언어와 현실 ★핵심★
- 2014.11.02 | 말씀을 가슴에 담고 살아라
- 2015.02.22 | 전쟁터에서 부르는 노래
- 2015.03.01 | 하나님의 말씀
- 2015.09.27 | 말의 힘 ★핵심★
- 2015.12.06 | 씻고 거룩하고 거듭나고 천국인이 된다
- 2016.01.03 | 새해를 이렇게 살자
- 2016.05.08 | 우리가 반드시 해야 할 입술의 고백 ★핵심★
- 2016.08.28 | 삶의 분위기와 행복
- 2017.02.12 | 하나님의 말씀은 살아 있고
- 2017.06.25 | 말의 위력(威力) ★핵심★
- 2018.07.22 | 천지 창조와 하나님의 말씀
- 2019.06.02 | 새로운 창조
- 2019.08.25 | 말하는 은사
- 2019.12.01 | 대화


================================================================================
## 4차원 영성 4요소 종합 설교 (모든 요소를 포괄적으로 다루는 핵심 설교)
================================================================================

- 2013.07.21 | 수고하고 무거운 짐 진 자 (생각·꿈·믿음·말 전반)
- 2014.02.02 | 수고하고 무거운 짐 진 자들 (생각·꿈·믿음·말 전반)
- 2018.08.26 | 예수님과 4차원 세계 ★★★ (4차원 영성 개요 총론)
- 2019.03.24 | 4차원과 3차원 ★★★ (4차원 영성 원리)
- 2019.08.18 | 꿈꾸고 믿고 창조적 말을 하고 감사하고 기다리라 ★★★


================================================================================
## 참고: 인코딩 변환 이력
================================================================================

다음 파일들을 CP949 → UTF-8로 변환 완료 (2026-03-25):
- 1981_1985_sermon.txt
- 1991_1995_sermon.txt
- 1996_2000_sermon.txt
- 2011_all.txt
- 2012-all.txt (일부 대체 문자 있음 - 원본 인코딩 혼합)
- 2012_01_06.txt

기존 UTF-8 파일 (변환 불필요):
- 1986_1990_sermon.txt
- 2001_2005_sermon.txt
- 2006_2010_sermon.txt
- 2012-06-03.txt ~ 2020-03-01.txt (개별 파일 전체)
